StudentID,FirstName,LastName,DateOfBirth,Course,Year,Section,MidtermGrade,FinalGrade,CGPA,PhoneNumber,Email
STU2024001,Sneha,Sharma,1/31/2003,Nursing,2,A,A+,A+,,9813561597,sneha.sharma92@college.edu
STU2024002,Pooja,Joshi,2/12/2003,Civil Engineering,2,B,B-,,1.61,9860806024,
STU2024003,Rohan,KC,2/17/2001,Law,3,,B,A,1.93,9860929647,rohan.kc82@college.edu
STU2024004,Dev,Magar,1/1/2003,Business Admin,2,,C,A-,2.12,9888461803,dev.magar75@college.edu
STU2024005,Sneha,Tamang,10/17/2001,Law,1,B,A+,A,2.84,9855657579,sneha.tamang56@college.edu
STU2024006,Nikhil,Shrestha,5/7/2003,Architecture,2,A,C,A+,2.41,9842329237,nikhil.shrestha11@college.edu
STU2024007,Riya,Rai,12/21/2002,Architecture,4,,B-,C,2.63,9855377076,
STU2024008,Priya,Joshi,10/17/2000,Architecture,2,B,,,3.46,9823009833,priya.joshi46@college.edu
STU2024009,Kiran,Joshi,3/23/2001,Nursing,2,A,C,B+,1.69,,kiran.joshi70@college.edu
STU2024010,Kiran,Poudel,11/5/2001,Law,1,,F,C,2.24,9882772208,
STU2024011,Nikhil,Thapa,1/31/2002,Business Admin,1,C,A+,,,9852462441,nikhil.thapa27@college.edu
STU2024012,Rohan,Sharma,2/20/2005,Mass Communication,1,A,B-,A,2.42,9882909480,rohan.sharma79@college.edu
STU2024013,Rahul,Shrestha,3/14/2001,Architecture,2,B,B,F,3.76,,rahul.shrestha36@college.edu
STU2024014,Pooja,Basnet,2/9/2000,Business Admin,1,C,A-,C+,2.27,9838195995,pooja.basnet86@college.edu
STU2024015,Kavya,Rai,12/26/2001,Law,1,A,A,C+,3.65,9871780854,kavya.rai30@college.edu
STU2024016,Meera,Bista,6/25/2004,Architecture,3,A,,C+,3.47,9878642041,meera.bista74@college.edu
STU2024017,Arjun,Karki,11/1/2004,Business Admin,3,C,C+,B-,2.24,9899245317,arjun.karki87@college.edu
STU2024018,Shreya,Joshi,3/19/2005,Medicine,4,,B,F,3.05,9841523529,shreya.joshi29@college.edu
STU2024019,Pooja,Acharya,3/7/2002,Law,4,B,A,C+,3.51,9884813739,pooja.acharya16@college.edu
STU2024020,Siddharth,Silwal,8/29/2005,Law,4,A,B,F,2.1,,siddharth.silwal35@college.edu
STU2024021,Arjun,Thapa,8/26/2004,Law,3,C,C+,,1.55,9810791358,arjun.thapa39@college.edu
STU2024022,Rahul,Limbu,6/12/2005,Computer Science,4,B,,F,,9898986321,
STU2024023,Dev,Joshi,4/1/2004,BBA,4,B,B-,B+,3.45,9843189803,dev.joshi3@college.edu
STU2024024,Rahul,Karki,11/18/2001,Mass Communication,1,A,,C+,3.29,9894187049,rahul.karki90@college.edu
